loss,amplitude_loss,delta_loss,gate_loss,sign_probability_loss,val_loss,val_amplitude_loss,val_delta_loss,val_gate_loss,val_sign_probability_loss,lr
0.17752298712730408,0.0010057537583634257,0.0019265995360910892,0.6307573318481445,0.06827166676521301,0.17289495468139648,0.0008282845956273377,0.001850796747021377,0.6145143508911133,0.06665676087141037,0.001
0.1732240468263626,0.000933520495891571,0.0018733590841293335,0.6140555739402771,0.06812800467014313,0.16873987019062042,0.0007667359313927591,0.0018027758924290538,0.5983625650405884,0.06649643182754517,0.001
0.16931621730327606,0.0008731324342079461,0.001830576453357935,0.5988725423812866,0.06796476989984512,0.16492050886154175,0.0007100665825419128,0.00176217348780483,0.5835159420967102,0.06633450090885162,0.001
0.16575199365615845,0.000820352986920625,0.0017918868688866496,0.5850117206573486,0.06782184541225433,0.1613703817129135,0.0006621172651648521,0.0017274842830374837,0.5697025060653687,0.06617505848407745,0.001
0.1624847799539566,0.0007768119685351849,0.001760485116392374,0.5723035335540771,0.06766702234745026,0.1581716686487198,0.0006199277122505009,0.0016984135145321488,0.5572512149810791,0.06602544337511063,0.001
0.1595098078250885,0.000737920287065208,0.0017311145784333348,0.5607255101203918,0.0675339326262474,0.15525327622890472,0.0005848457803949714,0.0016702116699889302,0.545880138874054,0.06589949876070023,0.001
0.15678077936172485,0.0007053296430967748,0.0017071292968466878,0.5501012206077576,0.06739675998687744,0.15255694091320038,0.0005536925164051354,0.0016493652947247028,0.5353775024414062,0.06575611978769302,0.001
0.15430551767349243,0.0006762468256056309,0.0016861726762726903,0.5404583811759949,0.06727445125579834,0.15009553730487823,0.0005266486550681293,0.0016290772473439574,0.5257862210273743,0.06563100218772888,0.001
0.1520458310842514,0.0006507019861601293,0.0016675697406753898,0.5316529870033264,0.06716064363718033,0.14784404635429382,0.0005012161564081907,0.001610590610653162,0.5170110464096069,0.06551913172006607,0.001
0.14997273683547974,0.0006270967423915863,0.0016495693707838655,0.5235797166824341,0.06705445051193237,0.14577527344226837,0.00047926552360877395,0.0015935024712234735,0.5089349150657654,0.06542621552944183,0.001
0.1480782926082611,0.0006061047315597534,0.0016338193090632558,0.5161895155906677,0.06696631014347076,0.14388807117938995,0.0004599626117851585,0.001579157542437315,0.5015837550163269,0.06531906872987747,0.001
0.14634211361408234,0.0005870898021385074,0.0016207887092605233,0.5094324350357056,0.06686300784349442,0.14211104810237885,0.0004422434139996767,0.0015657200710847974,0.49464720487594604,0.06523106247186661,0.001
0.14473506808280945,0.0005705963121727109,0.0016056075692176819,0.5031781792640686,0.06677740812301636,0.1405019909143448,0.00042549544014036655,0.001553119975142181,0.4883769452571869,0.06514378637075424,0.001
0.14326882362365723,0.0005551176145672798,0.0015944737242534757,0.4974818527698517,0.06667913496494293,0.13901974260807037,0.000412089197197929,0.0015429264167323709,0.4826008677482605,0.06505336612462997,0.001
0.14193090796470642,0.000541556510142982,0.0015843684086576104,0.4922778904438019,0.06659400463104248,0.13765670359134674,0.00039943266892805696,0.0015333720948547125,0.47729259729385376,0.06496785581111908,0.001
0.14069047570228577,0.0005287231178954244,0.0015751568134874105,0.48745855689048767,0.06650887429714203,0.1363954395055771,0.00038746040081605315,0.001524678198620677,0.47238314151763916,0.0648856833577156,0.001
0.13954514265060425,0.0005167417693883181,0.0015667006373405457,0.4830087423324585,0.06642958521842957,0.13523352146148682,0.00037554599111899734,0.001516758929938078,0.46786150336265564,0.06480977684259415,0.001
0.13849762082099915,0.0005060875555500388,0.0015582538908347487,0.4789507985115051,0.06634753942489624,0.13415127992630005,0.00036622921470552683,0.0015092164976522326,0.4636582136154175,0.06472796946763992,0.001
0.13752877712249756,0.0004958795616403222,0.0015508463839069009,0.4751955568790436,0.06627228856086731,0.13313986361026764,0.00035695190308615565,0.0015020378632470965,0.4597240686416626,0.06465847045183182,0.001
0.13664105534553528,0.00048580337897874415,0.0015439598355442286,0.47173622250556946,0.0662233978509903,0.1322258561849594,0.0003480300074443221,0.0014950881013646722,0.45617422461509705,0.06459307670593262,0.001
0.13580776751041412,0.00047674038796685636,0.001536453957669437,0.4685437083244324,0.06612638384103775,0.13135486841201782,0.00034044653875753284,0.0014887676807120442,0.4528018832206726,0.06451750546693802,0.001
0.1350463628768921,0.00046866125194355845,0.0015303046675398946,0.4656048119068146,0.06605572253465652,0.13055123388767242,0.0003327842860016972,0.00148308789357543,0.44969579577445984,0.06444238126277924,0.001
0.1343468874692917,0.0004600161628331989,0.0015245075337588787,0.46291375160217285,0.06598454713821411,0.12982073426246643,0.00032548955641686916,0.0014773966977372766,0.4468708634376526,0.06437812000513077,0.001
0.133690744638443,0.000451364932814613,0.0015184961957857013,0.46039584279060364,0.06591521948575974,0.12912863492965698,0.0003189356648363173,0.001471739960834384,0.4442020654678345,0.06431003659963608,0.001
0.1330823451280594,0.0004444293736014515,0.0015123181510716677,0.4580644965171814,0.06584688276052475,0.1284743696451187,0.0003130509576294571,0.0014660863671451807,0.4416811466217041,0.06424342095851898,0.001
0.13252247869968414,0.0004372436087578535,0.0015070103108882904,0.45592090487480164,0.06578169763088226,0.12787246704101562,0.00030642253113910556,0.0014613650273531675,0.4393693506717682,0.06417489796876907,0.001
0.1320006549358368,0.000430103245889768,0.0015018708072602749,0.45393428206443787,0.06571119278669357,0.1273176074028015,0.00030158358276821673,0.001456515514291823,0.43724381923675537,0.06410539150238037,0.001
0.13150666654109955,0.00042267979006282985,0.0014965587761253119,0.4520612359046936,0.06563971191644669,0.12679588794708252,0.00029592658393085003,0.0014516646042466164,0.4352460205554962,0.06404238939285278,0.001
0.1311531513929367,0.00041814454016275704,0.0014924147399142385,0.4507193863391876,0.06558971852064133,0.12653931975364685,0.00029397240723483264,0.0014489658642560244,0.434268057346344,0.06400667876005173,0.0005
0.13092918694019318,0.00041485895053483546,0.0014897831715643406,0.4498794376850128,0.06554853916168213,0.12629500031471252,0.00029138155514374375,0.0014466573484241962,0.4333384931087494,0.06397102028131485,0.0005
0.13071827590465546,0.00041211736970581114,0.0014873272739350796,0.44908177852630615,0.06551580131053925,0.12605682015419006,0.0002893571218010038,0.0014442235697060823,0.4324326515197754,0.0639357641339302,0.0005
0.13050605356693268,0.00040835936670191586,0.0014846596168354154,0.448286235332489,0.06547831743955612,0.12582699954509735,0.00028665809077210724,0.0014417425263673067,0.4315583109855652,0.06390383094549179,0.0005
0.1303054690361023,0.0004050439747516066,0.0014821916120126843,0.4475308954715729,0.06544555723667145,0.1256006509065628,0.000284152221865952,0.001439210376702249,0.4306999444961548,0.06386967748403549,0.0005
0.13010895252227783,0.00040160113712772727,0.001479918253608048,0.44679397344589233,0.06540994346141815,0.12538252770900726,0.00028182807727716863,0.0014371683355420828,0.4298746883869171,0.06383299082517624,0.0005
0.12991641461849213,0.0003981804184149951,0.00147717643994838,0.44607627391815186,0.06537311524152756,0.12516359984874725,0.00028003324405290186,0.0014343332732096314,0.4290454387664795,0.06379920244216919,0.0005
0.12972937524318695,0.0003949083620682359,0.0014746631495654583,0.44537848234176636,0.06533706188201904,0.12495502829551697,0.00027741584926843643,0.0014321556081995368,0.4282594323158264,0.06376252323389053,0.0005
0.12955303490161896,0.00039151066448539495,0.001472502714022994,0.4447230398654938,0.06530015170574188,0.12474555522203445,0.00027478227275423706,0.0014299646718427539,0.42747005820274353,0.06372559815645218,0.0005
