loss,amplitude_loss,delta_loss,gate_loss,sign_loss,val_loss,val_amplitude_loss,val_delta_loss,val_gate_loss,val_sign_loss,lr
0.1260710060596466,0.001911151921376586,0.0010948698036372662,0.43251097202301025,0.09230881929397583,0.12056274712085724,0.001984646078199148,0.001097154221497476,0.4122093617916107,0.08928533643484116,1e-05
0.12606893479824066,0.0019094593590125442,0.0010948549024760723,0.4325057566165924,0.09230662882328033,0.12056010961532593,0.0019830341916531324,0.0010971262818202376,0.41220229864120483,0.08928251266479492,1e-05
0.12606677412986755,0.0019078593468293548,0.0010947778355330229,0.43250036239624023,0.09230462461709976,0.12055779993534088,0.0019811398815363646,0.00109698879532516,0.41219669580459595,0.08928070217370987,1e-05
0.12606461346149445,0.001906167482957244,0.0010945802787318826,0.4324948489665985,0.09230358898639679,0.12055537104606628,0.0019794930703938007,0.0010967192938551307,0.41219037771224976,0.0892796665430069,1e-05
0.12606240808963776,0.001904563861899078,0.0010944419773295522,0.43248921632766724,0.09230189025402069,0.12055298686027527,0.0019778909627348185,0.001096643740311265,0.41218429803848267,0.08927713334560394,1e-05
0.12606021761894226,0.0019029977265745401,0.0010944550158455968,0.43248361349105835,0.09229934215545654,0.12055041640996933,0.001976067665964365,0.0010965958936139941,0.4121777415275574,0.08927441388368607,1e-05
0.12605808675289154,0.001901309471577406,0.0010942904045805335,0.4324781894683838,0.09229807555675507,0.12054799497127533,0.001974250888451934,0.001096365973353386,0.4121716022491455,0.08927321434020996,1e-05
0.12605580687522888,0.0018996010767295957,0.001094259088858962,0.4324724078178406,0.09229554980993271,0.1205451563000679,0.0019725938327610493,0.0010963644599542022,0.4121638238430023,0.08927007764577866,1e-05
0.126053586602211,0.001897928537800908,0.0010942277731373906,0.4324668049812317,0.09229323267936707,0.12054267525672913,0.001970838289707899,0.001096311374567449,0.4121575951576233,0.0892672911286354,1e-05
0.12605156004428864,0.0018962136236950755,0.0010942468652501702,0.4324621856212616,0.09229043126106262,0.12054020166397095,0.001969007309526205,0.0010963035747408867,0.4121517837047577,0.089263916015625,1e-05
0.12604908645153046,0.0018944814801216125,0.00109420670196414,0.43245550990104675,0.09228823333978653,0.12053729593753815,0.0019671141635626554,0.001096125808544457,0.4121437072753906,0.08926229178905487,1e-05
0.12604667246341705,0.0018927253549918532,0.0010940860956907272,0.43244943022727966,0.09228628873825073,0.12053468823432922,0.0019652608316391706,0.0010960627114400268,0.4121372103691101,0.08925940096378326,1e-05
0.1260443925857544,0.0018909376813098788,0.0010940841166302562,0.4324437081813812,0.09228374063968658,0.12053196877241135,0.0019633860792964697,0.0010959176579490304,0.41213029623031616,0.08925706893205643,1e-05
0.1260422170162201,0.0018891417421400547,0.0010942413937300444,0.4324379861354828,0.09228064119815826,0.12052910029888153,0.001961539499461651,0.0010960556101053953,0.4121229648590088,0.08925243467092514,1e-05
